t,x(t)
0.366,0.414795
0.3665,0.415352
0.367,0.415908
0.3675,0.416464
0.368,0.41702
0.3685,0.417576
0.369,0.418132
0.3695,0.418688
0.37,0.419244
0.3705,0.4198
0.371,0.420355
0.3715,0.420911
0.372,0.421467
0.3725,0.422022
0.373,0.422577
0.3735,0.423133
0.374,0.423688
0.3745,0.424243
0.375,0.424799
0.3755,0.425354
0.376,0.425909
0.3765,0.426464
0.377,0.427019
0.3775,0.427574
0.378,0.428128
0.3785,0.428683
0.379,0.429238
0.3795,0.429792
0.38,0.430347
0.3805,0.430901
0.381,0.431456
0.3815,0.43201
0.382,0.432564
0.3825,0.433118
0.383,0.433672
0.3835,0.434226
0.384,0.43478
0.3845,0.435334
0.385,0.435888
0.3855,0.436442
0.386,0.436995
0.3865,0.437549
0.387,0.438103
0.3875,0.438656
0.388,0.439209
0.3885,0.439763
0.389,0.440316
0.3895,0.440869
0.39,0.441422
0.3905,0.441975
0.391,0.442528
0.3915,0.443081
0.392,0.443634
0.3925,0.444187
0.393,0.444739
0.3935,0.445292
0.394,0.445845
0.3945,0.446397
0.395,0.446949
0.3955,0.447502
0.396,0.448054
0.3965,0.448606
0.397,0.449158
0.3975,0.44971
0.398,0.450262
0.3985,0.450814
0.399,0.451366
0.3995,0.451918
0.4,0.452469
0.4005,0.453021
0.401,0.453572
0.4015,0.454124
0.402,0.454675
0.4025,0.455226
0.403,0.455778
0.4035,0.456329
0.404,0.45688
0.4045,0.457431
0.405,0.457982
0.4055,0.458532
0.406,0.459083
0.4065,0.459634
0.407,0.460184
0.4075,0.460735
0.408,0.461285
0.4085,0.461836
0.409,0.462386
0.4095,0.462936
0.41,0.463486
0.4105,0.464036
0.411,0.464586
0.4115,0.465136
0.412,0.465686
0.4125,0.466236
0.413,0.466785
0.4135,0.467335
0.414,0.467884
0.4145,0.468434
0.415,0.468983
0.4155,0.469532
0.416,0.470082
0.4165,0.470631
0.417,0.47118
0.4175,0.471729
0.418,0.472277
0.4185,0.472826
0.419,0.473375
0.4195,0.473924
0.42,0.474472
0.4205,0.475021
0.421,0.475569
0.4215,0.476117
0.422,0.476665
0.4225,0.477213
0.423,0.477761
0.4235,0.478309
0.424,0.478857
0.4245,0.479405
0.425,0.479953
0.4255,0.4805
0.426,0.481048
0.4265,0.481595
0.427,0.482143
0.4275,0.48269
0.428,0.483237
0.4285,0.483784
0.429,0.484331
0.4295,0.484878
0.43,0.485425
0.4305,0.485972
0.431,0.486519
0.4315,0.487065
0.432,0.487612
0.4325,0.488158
0.433,0.488704
0.4335,0.489251
0.434,0.489797
0.4345,0.490343
0.435,0.490889
0.4355,0.491435
0.436,0.491981
0.4365,0.492526
0.437,0.493072
0.4375,0.493618
0.438,0.494163
0.4385,0.494708
0.439,0.495254
0.4395,0.495799
0.44,0.496344
0.4405,0.496889
0.441,0.497434
0.4415,0.497979
0.442,0.498524
0.4425,0.499068
0.443,0.499613
0.4435,0.500157
0.444,0.500702
0.4445,0.501246
0.445,0.50179
0.4455,0.502334
0.446,0.502878
0.4465,0.503422
0.447,0.503966
0.4475,0.50451
0.448,0.505054
